StatLevel/internal05,"老陽"
LegendInfo/Ch_6_7_5_009,"錦香宮殺人魔的鼎鼎大名，響徹江湖，自己幫眾當她作肥羊，坑、蒙、拐、騙，從她身上偷了不知多少錢財，這仇結得可深了，她不知道找誰報仇，找自己這個幫主償命，總之不會錯。\n牛頭馬面沒見過，真正的死神穿著白衣。萬一動上手，丐幫今日就得另選新幫主。\n李富貴霎時駭得臉色鐵青，連連後退，這活是不論如何不敢接了。"
LegendInfo/Ch_6_7_5_008,"李富貴天人交戰，終究選擇犧牲小我，完成大我，攬下了這活。\n龍湘哪能默許恩師被害，殺氣騰騰持劍攔在恩師身前。"
LegendInfo/Ch_6_7_5_007,"李富貴忠義兩難全，唯有問諸本心，他的本心就是不幹。\n李富貴扭頭就走，那這下手殺人的活，便只能著落在釋明頭上，他一派高僧形象，卻沒一點慈悲心，出手擊殺負傷的溫夫人不難，難就難在你這面目猙獰的煞星不好對付，正感為難間又每況愈下，更讓人膽寒的錦香宮殺人魔也持劍跳入場中。\n他那是半點動手的心思也不敢有了，為了不發抖甚至運用了內力。"
LegendInfo/Ch_6_7_5_006,"李富貴亟欲建功立業不假，但那是為了義父王二壯臨終所託，必須照顧好丐幫弟兄，不讓他們被人看輕、忘記尊嚴，又回到從前過街老鼠的日子。\n他如何不知義父念念不忘的溫夫人，心底委實不願對其下手。"
LegendInfo/Ch_6_7_5_005,"釋明怕李富貴顧念情分，優柔寡斷不忍下手，勸他的時候連你也一併罵了。\n李富貴雖然天生說話結巴，看上去又憨厚老實，卻不是別人說啥就聽啥的蠢牛木馬，辱及你，他登時就不痛快了，竟對釋明反唇相譏。\n要不是身負幫主重任，害怕朝廷打壓丐幫幾萬弟子，他高低得抄棍子敲破釋明的腦袋，再和上官隼翻臉。"
LegendInfo/Ch_6_7_5_004,"上官隼並非武官，再取溫夫人性命則顯鋒芒太露，恐為官家不喜，何況他再是心狠手辣，若非逼不得已，也不想手染故人鮮血。\n是以收刀，將這天大功勞讓給李富貴，示意他取溫夫人性命，當作丐幫投名狀，雪洗污名。"
LegendInfo/Ch_6_7_5_003,"崆峒派人多，更有道法將軍坐鎮指揮，一時之間不顯頹勢，但也心知孤掌難鳴，不是長久之計，於是轉攻為守，退守在宮人周圍，嚴陣以待。"
LegendInfo/Ch_6_7_5_002,"你唐門有心亦無力回天，被官兵、武林盟攜手打得狼狽不堪。"
LegendInfo/Ch_6_7_5_001,"寡不敵眾，被衝破了防線，節節敗退。"
LegendInfo/Ch_6_7_4_1_001,"雖分了勝負，但聞一聲尖叫，白衣染血，陣形一處出現缺角，苦苦支撐的平局登時崩潰，嵩山南院釋明法師、丐幫李幫主相繼破陣入場，為上官隼加勢，錦香宮大勢已去，溫夫人欲以音波功退敵，可是自己心弦大亂，七情攻心，聲聲皆自傷，再也忍不住喉頭腥甜，一口血吐了出來，已受了沉重內傷。"
LegendInfo/Ch_6_7_4_016,"但聞一聲尖叫，白衣染血，陣形一處出現缺角，苦苦支撐的平局登時崩潰，錦香宮大勢已去，溫夫人欲以音波功退敵，可是自己心弦大亂，七情攻心，聲聲皆自傷，再也忍不住喉頭腥甜，一口血吐了出來，已受了沉重內傷。"
LegendInfo/Ch_6_7_4_015,"然而小梅武功恰為上官家學所剋，逐浪訣專門擾亂輕功，真要對上，不是小梅想拚命就有得拚，快攻施展不出來，不消兩回合就會慘死於刀下。\n小梅捨身相助，溫夫人焉能讓她白白送命？\n於是召到身邊叮囑一番，驅之離開。\n上官隼不急不躁，扛著刀默默的等，也算是盡了舊年香火之情。"
LegendInfo/Ch_6_7_4_014,"雖分了勝負，但聞一聲尖叫，白衣染血，陣形一處出現缺角，苦苦支撐的平局登時崩潰，嵩山南院釋明法師、丐幫李幫主相繼破陣入場，為上官隼加勢，錦香宮大勢已去，溫夫人欲以音波功退敵，可是自己心弦大亂，七情攻心，聲聲皆自傷，再也忍不住喉頭腥甜，一口血吐了出來，已受了沉重內傷。"
LegendInfo/Ch_6_7_4_013,"前有強敵，後有你這陰陽怪氣的小子在後邊譏諷，上官隼進退不得，果真是龍遊淺水遭蝦戲。"
LegendInfo/Ch_6_7_4_012,"前有強敵，後有你手持小劍，徐徐走來，宛如催命的閻王。"
LegendInfo/Ch_6_7_4_011,"有了強援在側，情勢登時逆轉，溫夫人音波功發威，一曲《仙侶宮・哪吒令・龍遊淺水》恰似針對了上官刀法特性，刻意引誘他錯亂拍子，本該連綿不絕的刀意紊亂，難以發揮。\n縱使龍王刀掀攪滔滔江水，仍不免被後浪追上，被他所瞧不起的女流打得節節敗退，再難近身妨礙溫夫人。"
LegendInfo/Ch_6_7_4_010,"畫中仙得你相助，總算脫身，想來全力施為拖住上官隼，令溫夫人可以演奏琵琶，情勢必然逆轉。"
LegendInfo/Ch_6_7_4_009,"此時你才終於姍姍來遲，橫小劍在胸，這回再戰上官家主，可不是削他面子那麼簡單，而是當真要決一死戰。"
LegendInfo/Ch_6_7_4_008,"此時你才終於姍姍來遲，橫小劍在胸，不只為錦香宮，也要為師門討回公道。"
LegendInfo/Ch_6_7_4_007,"龍湘還怕小師妹沒練過錦香宮心法，受不住溫夫人的音波，難以擔任護法，殊不知她的天地無聲勢比之玄燭心經遠有過之而無不及，專心一意，天地之間無聲可聞，音波功對她的影響微乎其微，沒人比她更適合護法。"
LegendInfo/Ch_6_7_4_006,"小師妹翩然落在溫夫人身側，不帶一絲敵意勸誡上官隼不可以這樣。\n上官隼見她不禁愕然，還道是故人復生，一時恍惚，旋即搖頭苦笑，揮散妄想，暗恨溫夫人的琵琶聲亂人心弦。"
LegendInfo/Ch_6_7_4_005,"雖然沒有盛雪搭檔，但想來她努力點，也還湊合。"
LegendInfo/Ch_6_7_4_004,"雖然沒有盛雪搭檔，但有小梅。\n小梅見她來了，也鬆了一口氣，敵對的時候很可怕，但沒有比龍湘更令人安心的戰友了。"
LegendInfo/Ch_6_7_4_003,"龍湘在千鈞一髮之際，迴劍立於溫夫人身側。"
LegendInfo/Ch_6_7_4_002,"直此危機關頭，小梅駕到。\n她自知不是上官隼的對手，但全力以赴幾輪快攻，起碼能讓上官家主一時無暇妨礙溫夫人，若能力挽頹勢，燒盡壽元也在所不惜。"
LegendInfo/Ch_6_7_4_001,"\n那邊廂，溫夫人與上官隼對決。\n她精擅催動內力施展音波功，使發時波及甚遠，影響亦鉅，分毫不遜於明刀明槍的比鬥，但是近身搏鬥卻非所長，非有宮人在旁護法不可。\n明玉、畫中仙或者龍湘、盛雪都練就攻守合一的雙人絹法、劍法，是護法不二人選，但是此刻卻無一人在側，唯得二名功力尚淺的女弟子勉力支撐，被上官隼刀浪捲得東倒西歪，口吐鮮血，雙雙敗下陣來。\n溫夫人一身絕學無法施展，只能任人宰割。"
LegendInfo/Ch_6_7_3_1_002,"你戰勝了南宮深，卻沒下殺手。\n南宮深丟光臉面，恨你恨得牙癢，分毫不感激。"
LegendInfo/Ch_6_7_3_1_001,"你戰勝了南宮深，在生死相搏的戰場伸手扶他起來，就像朋友切磋一樣不傷感情。\n他自然不能再攔你，目送你奔向下一個強敵，心中隱隱有種不可言喻的激情，想要跟上你的腳步，站到你的身側，與你同仇敵愾。\n如果不是生在南宮世家，也許加入唐門也不壞。"
LegendInfo/Ch_6_7_3_017,"在你聽來，這些都不可理喻。\n一旦認同了他的想法，武林就只是互相拍馬屁吹捧的扮家家罷了，俠義蕩然無存。\n這種正派無怪掌門不屑，所以不群並非傲慢，而是不願瞻前顧後，曲折了自己的意志。\n南宮深無言以對，理解了你的想法，甚至贊同。但他代表著所有認同他的人，不能輕易退讓，你們之間注定要有一戰。"
LegendInfo/Ch_6_7_3_016,"南宮深人如其名，心計頗深，他之所以不能容忍錦香宮，可不似旁人全因熱血上頭，而是考慮到了更深遠的將來，縱使知道錦香宮無辜，也不得不狠下心來割捨，防止縱虎歸山，反令武林同道置身在憂患之中，一旦成為朝廷的眼中釘，誰的日子也別想好過。\n在他看來，這是為了維護大局不得不做出的犧牲。"
LegendInfo/Ch_6_7_3_015,"被他這樣逼問，你也不想相瞞，除了仗義而為，也不能否認沒有兒女私情的成分，就差沒把你單戀龍湘的事說出口了。\n沒想到大公子聽了居然一臉釋然，恍然大悟，自覺一切都說得通了，自古英雄難過美人關，食色性也，他都能為紅顏知己辜負未婚妻，背負天下罵名，自然也能諒解你，登時對你的憤恨消滅了大半。\n只是為了武林大局，唯有對不住你，不得不與你為敵。"
LegendInfo/Ch_6_7_3_014,"南宮深對於你的背叛感到十分憤慨，強耐著火氣問你是否泥教中人，何以為錦香宮妖女助陣？莫非是為色所迷嗎？"
LegendInfo/Ch_6_7_3_013,"畫中仙不止肚裡盤算，而且還宣之於口：以你的武功，力敵大公子應該可以，就算不勝也不至於敗。\n就算敗了也不至於死，就算死了也沒多可惜，所以大公子就交給你對付了。\n她自去支援溫夫人。"
LegendInfo/Ch_6_7_3_012,"南宮深厭惡你，裝作瞧不起你，實則忌憚得很，見你到來，不由得心下犯難。"
LegendInfo/Ch_6_7_3_011,"南宮深一時還道你是來為他助陣的，喜上眉梢，旋即發現會錯了意，一顆心登時沉了下去。"
LegendInfo/Ch_6_7_3_010,"你入陣只見南宮深正與畫中仙對峙。"
LegendInfo/Ch_6_7_3_009,"\n這時小師妹闖入陣中，大公子還來不及反應，小師妹便借用他的披風，俯衝進入死角，畫中仙只道是敵人，伸手欲捉，小師妹一蹬又倒騰出去，禍水東引，讓南宮深去接畫中仙的招，藉此機會越過二人，逕自離開。\n這一切只在彈指之間，流暢得宛如三人排練好一般，畫中仙輕功造詣極高，也不禁駭然：這小妮子的身法何止是輕功？她先利用了南宮深的披風，又撩撥自己出手掣肘南宮深，敢情這是把自己當暗器使，這如何不是忘形篇的實踐！"
LegendInfo/Ch_6_7_3_008,"\n龍湘一入陣，大公子便知要糟，畫中仙招數陰柔尚且能檔，那龍湘的本領他卻是知道的，剛柔並濟，甭使什麼巧勁，一劍斬落，扇子、披風乃至他本人都會一股腦兒變作兩半。\n正待攻心，拿她父親名聲僵住龍湘，畫中仙卻覷準他說話的空檔，暗施偷襲，卻被龍湘妨礙，不禁錯愕。\n龍湘並非叛變，而是用她的方式幫助錦香宮，正因為被正道誤解，所以更不能落人口實，必須貫徹光明正大的做派，才無愧天地良心。\n畫中仙給氣得笑了，都到了生死相搏的地步，還如此天真。忙催趕龍湘去幫溫夫人，就怕她再說出什麼傻話來，自己會被活活氣死。\n殊不知南宮深已被深深的打動了，掩不住羞慚，鬥志消散了大半，茫然若失。\n南宮世家的人，總是會被姓龍的弄到懷疑人生，二十年前父親如此，二十年後兒子亦然。\n他只是城府深，畢竟是俠義中人，將恩情記下，暗暗發誓縱使錦香宮覆滅，也一定要保她周全，將來以南宮世家的人脈為她的江湖行保駕護航。\n何況她人既清秀又颯爽，也是不可多得的美人兒，要是前代武林盟主的獨女和當代武林盟主的嫡子結褵，那豈不是一樁美談？\n一時之間越想越美，臉上都帶著笑意。"
LegendInfo/Ch_6_7_3_007,"\n小梅一入陣，二話不說便向南宮深發動猛攻，畫中仙更不打話，出手呼應，瞬息之間噹噹噹噹數十次兵刃交迸之聲，直似一聲齊響，攻勢快得希罕，守也守得離奇。\n小梅、畫中仙一口真氣耗竭，紛紛躍開唯恐遭到反擊，心下駭然：南宮家學名不虛傳，她們出手快到自己都將看不清，那大公子竟能全部接下，從頭到腳沒一分損傷。\n殊不知大公子也自駭然，暗想這兩個女子怎麼出手如此狠辣，兵刃全往要害招呼？他一但失手，就是即死。\n方才已顧不上見招拆招，只是全力施為，扇子、披風所有守招全都用上，然而這些都不足以抵禦兩代千面人魔的聯手夾攻。\n真正的奇蹟，是肩甲。\n是肩甲過度礙事，又是在小梅往他脖子上抹去時戳退了小梅，又在畫中仙欲用絹索金鈴捶他下頦要害纏住了絹索，無形之間替南宮深將上身威脅遮去了大半，他才得以倖免，嚇出一身冷汗。\n畫中仙亟欲支援溫夫人，又唯恐小梅隻身不是南宮深的對手，唯有派遣小梅，自己留下來拖延南宮深。"
LegendInfo/Ch_6_7_3_006,"這邊廂，錦香宮畫中仙正與南宮大公子鬥得不可開交。\n畫中仙武功更勝不止一籌，可是她武學路子側重迴避防守，而南宮家學更是護心為上，九守一攻，全力防禦時，可謂是守得滴水不漏，強如畫中仙一時亦奈何不了他。"
LegendInfo/Ch_6_7_3_005,"而你率眾自後方強攻，剖開人潮，獨自來到錦香宮陣前，錦香宮人無不又驚又喜，患難見真情，此刻看你醜臉，比那些風流倜儻的少俠公子都要順眼。\n開門請君入陣，你便是她們的希望。"
LegendInfo/Ch_6_7_3_004,"小師妹腳踏人頭，幾個縱躍跳到陣前，只說一句「我幫妳們」便踏著宮人劍鋒飛竄入入陣中，看得眾人目瞪口呆，不是不想攔，這誰攔得住？"
LegendInfo/Ch_6_7_3_003,"龍湘揮舞寶劍逼開人眾，搶到陣前，不顧師姊妹們攔阻，強行闖陣，師姊妹們總不能真的拿劍刺她，攔也攔不住，只得由她。"
LegendInfo/Ch_6_7_3_002,"小梅發一聲喊，錦香宮人毫不遲疑為她開門讓道。"
LegendInfo/Ch_6_7_3_001,"\n錦香宮人憑著精妙陣法，一時不落下風，無奈武林盟人數太眾，沒有溫夫人以音波功相助，漸感力不從心。"
LegendInfo/Ch_6_7_2_Break_01_011,"丹霞子見狀，立刻猜出你的意圖，率崆峒四門弟子入陣響應。"
LegendInfo/Ch_6_7_2_Break_01_010,"你決定支援錦香宮，這是明擺著和武林盟、和朝廷過不去。\n唐門師弟妹雖不是沒動惻隱之心，但要為此搭上性命，都覺得不甘心，好些人沒上陣就想著要虛應故事，找機會開溜了。"
LegendInfo/Ch_6_7_2_Break_01_009,"你決定遵從良心支援錦香宮，這是明擺著和武林盟、和朝廷過不去。\n即便今日大難不死，來日也後患無窮，可是人性的光輝將會因你而閃閃發光。\n唐門眾師弟妹並非不怕死，但也慶幸你沒有選擇為了苟活抹煞良心。"
LegendInfo/Ch_6_7_2_Break_01_008,"你當即發號施令，與正道武林盟同一陣線，唐門大家早已熱血沸騰，恨不得大幹一票，揚名立萬。"
LegendInfo/Ch_6_7_2_Break_01_007,"你為了保全唐門，決定與正道武林盟同一陣線，雖然讓師弟妹們大失所望，但也不是不能理解，誰沒私心不想苟活呢？就算有違良心道義，日子仍舊可以過得下去。"
LegendInfo/Ch_6_7_2_Break_01_006,"你連自己都訝異，固然心痛，但是與大局相權衡，放棄小梅似乎沒有想像中的困難。\n從前愛逾性命的人兒，已經不在你的心上了，你可以有別的相好。"
LegendInfo/Ch_6_7_2_Break_01_005,"你心傷得狠了，直想與她同生共死，但是不行，你已經下了決斷要把師弟妹們平安帶回唐門，他們都是你的責任。"
LegendInfo/Ch_6_7_2_Break_01_004,"小梅卻不似你有諸多顧忌，什麼正邪之分在她看來都像屁一樣臭不可聞，從來都當笑話，最是對人不對事，偏袒到極致。\n你若有難，她能為你赴湯蹈火，如今她僅存的親人岌岌可危，她也不介意殺人放火。\n這一走大概很難倖存，所以特意向你道別，你若是在塵埃裡找到了她，希望你能將她遺體火化，灑到風裡，從此真箇飛天逍遙。"
LegendInfo/Ch_6_7_2_Break_01_003,"不是你沒有血性、眼看一切發生依然心如止水，實是你背負著太多人的信賴，不敢輕舉妄動，唯有袖手旁觀，兩不相幫。"
LegendInfo/Ch_6_7_2_Break_01_002,"丹霞子見狀，立刻猜出你的意圖，率崆峒四門弟子入陣響應。"
LegendInfo/Ch_6_7_2_Break_01_001,"\n龍湘隱約知道又有重要的人即將離開，怕得不得自已，握劍的手不住顫抖。\n捨不得宮中姊妹，想去幫忙，但師父卻又不讓，怕自己殞命於亂戰之中，更怕自己與泥教為伍，墮了她父親的威名，泉下有知亦不瞑目。\n你從沒見她這般六神無主，就像看見從前的自己，膽怯又弱小，無家可歸，想要逃離，卻又不知應該何去何從。\n一個人變得勇敢需要多大決心，你再清楚不過。\n在你能夠昂首闊步以前，有唐門可以為你遮風擋雨，而她如今有你。\n龍湘從你一句再普通不過的話裡，得到了莫大鼓舞，心跳搏動，讓血流溫暖了全身。\n儘管當局者迷，什麼都還沒想明白，但是放任師父師姊妹們不管，將來一定會後悔，所以此刻不得不去。\n不需你的號令，你的同門師弟妹們都追隨她揚起的寶劍，奔赴戰場。"
LegendInfo/Ch_6_7_1_016,"但是這些故事除了他自己，再也無人知曉。\n二十年份的歲月一頁頁撕下，投入火中。就像火摺子一樣，掩住了靜靜的燒著，無一日熄滅，風一吹，便死灰復燃。\n念著過往舊緣，倘若利益不相衝突尚且可以容情，而今結果如何，顯而易見了。\n一聲令下，官兵提起槍、提起刀，將錦香宮叛逆團團包圍，武林人士也不落於人後，紛紛各展絕技，對錦香宮人發動攻擊。"
LegendInfo/Ch_6_7_1_015,"那時上官隼生性紈绔，經常帶著玩伴欺負她，蘇迎香也因樂坊言教，膽小怯懦，畏懼這位富家公子，只道終生無法擺脫此人魔爪。\n及後雙雙長大成人，蘇迎香出落得越發美艷，而且才華洋溢，遠近聞名，上官隼將她視如禁臠，頻頻向樂坊施壓要人，蘇迎香也放棄抵抗，只當是命。\n可是少年南宮遠英雄救美，紙扇留香，不見面便贏得佳人芳心，一諾悠悠二十載不變不移。\n上官隼這才恍然大悟，原來自己被討厭得徹底，自己視為恩寵的眷顧，對蘇迎香而言都是屈辱。\n堂堂世家貴公子，為她洗心革面，收斂起跋扈脾氣，勤練武功、誦經禮佛，無數南宮遠要不到手的稀奇珍寶，都千方百計捧到蘇迎香手裡，卻反被嫌棄庸俗。\n他嫉妒南宮遠，又不得不佯作志同道合，只求能令心上人改觀，可惜到頭來幻夢一場，蘇迎香嫁不了南宮遠，也不肯從他，最終作了溫夫人。\n上官遠從此對情愛死了心，終生不娶，就連上官螢的娘親，也只是掌中玩物而已。\n從前種種浮上心頭，又拋諸腦後，那些往事她不記得，於上官大人而言，自也不再重要。"
LegendInfo/Ch_6_7_1_014,"\n於上官隼而言，似乎在公在私都不需猶豫。\n岳州當地通判本來不受邀請，至多協理，此時卻突然竄了出來，連聲喝止。\n他雖只六品，比宋悲、上官隼都差一級，而職責所在更不在此，頗有越權之嫌，但他是京官中委派到岳州的，自恃甚高，連知州都不放眼裡，更是看不起江湖草莽，有意讓上官隼知道厲害，硬是仗著官威擠到人前，恫嚇上官遠，若敢不奉聖旨專斷獨行，必將參他一本。\n上官遠富甲一方，有錢亦有權，儼然福建土皇帝，本就無意沾染江湖塵埃，連武林盟主都不想當，若給他參上一本，告他謀逆通敵，因此見疑於天子，豈非得不償失？\n他與蘇迎香的交情比南宮遠更久，彼此還是垂髫小兒就相識。"
LegendInfo/Ch_6_7_1_013,"\n夫人一聲令下，陣法開出一道門，放上官隼、南宮深入陣，旋即流動收攏，此陣裡外兼備，進來容易，要想出去卻難如登天。\n上官隼是見慣大風大浪的武林名宿，南宮深亦是文武全才，新一代武林中的翹楚，頗有大將之風。二人深入重圍，卻無半分疑懼之色，諸人見此都暗暗叫好。\n三人陣中對談，都刻意揚聲，有意讓在場諸士共聞，以示光明正大。\n溫夫人當頭便問，錦香宮犯了何樣滔天大罪，朝廷與武林盟何以苦苦相逼，一定不肯相饒？\n上官家主官場打滾，如何聽不出溫夫人話裡藏針，隱約有意分化朝廷與武林盟關係，若不能答得清楚，只怕後患無窮。\n那邊廂還在避重就輕互相試探，南宮深則急於表現，說得字字鏗鏘，可惜火候不夠，沒料到溫夫人就是要等他先捅破窗戶紙，反手拿住話柄，輕描淡寫一一論破，更反過來威脅武林正道，若兩邊協商不成，當真反目，則她宮人憑恃此陣，就算終將力竭而衰，也能支撐一時，期間她奏響琵琶，用音波功傷敵，內功、定力不濟者，就算不是立時瘋魔暴斃，也不免岔氣傷身，終生難以痊癒。\n江湖向有「真情假意，琵琶問心」之說，溫夫人以音波功聞名於江湖，在場俠客沒一人會當是虛張聲勢，實際吃過苦頭的也不在少數。\n因為想要求娶錦香宮人，無論是誰都得先聽溫夫人奏一首琵琶曲。\n聞曲者若是內功、定力不足，必定身陷幻境，使本來面目無所遁形，輕則手舞足蹈，丟人現眼，重則傷經損脈，走火入魔。\n眾人只道是自己包圍了敵人，可以倚仗人多勢眾，穩操勝券。\n殊不知竟反被威脅，登時人人自危變色。\n武林盟若元氣大傷，則名存實亡。至於功力不濟的官兵，更是一個也別想活命。\n官兵全軍覆滅風雨山，官家定要怪罪上官隼辦事不力，如此一來必將導致沒有勝者的最壞結局。\n但是那種兩敗俱傷的局面，實非溫夫人所願。\n江湖正道俠士不仁在先，錦香宮卻不忍不義，分明佔住了上風，卻主動棄械投降。\n泥教餓鬼道、地獄道惡名昭彰，人間道卻沒有惡名，更因身份成謎，至今未受朝廷懸賞，如此一來，溫夫人甚至不是投降，而是「投誠」。\n眾人料想雙方談到最後不免要有一番惡戰，及後卻聽溫夫人三言兩語，迫令俠士膽寒，此刻忽又急轉直下宣布投降，心情起伏之劇烈宛如沖天遁地，說不出是啥滋味。\n但凡還有良知的聽了，都不禁面有慚色，內心深處開始不禁自問：泥教當真罪無可赦嗎？自己真不是人云亦云，一桿子打翻一船人嗎？\n僅有少數胸有城府、毋忘防人之心的人越聽越是心驚，乃至冷汗直流。\n以溫夫人的才學見識，投誠以後，獻陣朝廷以抗外侮，招安泥教穩固國邦，這將是多大的功勞？泥教一除，宋國境內再無隱患，若硬說有，那便是所謂武林正派。\n俠以武犯禁，當朝官家可不會管你是好人還是壞人，他連自己任命的將軍都防，那能容你江湖草莽聚眾習武，威脅政權。\n屆時只怕不是朝廷籠絡武林盟消耗泥教，而是正邪逆轉，變成朝廷使喚泥教殲滅武林盟了。\n她不亢不卑，既展現了實力又表達善意，實則背地裡撩撥朝野矛盾，不沾一滴血，想要借刀殺人。"
LegendInfo/Ch_6_7_1_012,"你固然想留她，可是此刻她身份太有爭議，既是英雄後人，亦疑是魔教黨羽，若你收留了她 ，只怕連累同門。龍湘與你交情深厚，你同門師弟妹的安危也同樣重要。"
LegendInfo/Ch_6_7_1_011,"你一把拉住，若是唐門疑她，你不如就此離了唐門。\n見你表態，唐門師弟妹也紛紛開口留她，她在唐門的日子，可不是只和你有交情，雖說錦香宮主諄諄告誡她謹慎擇友，但這樣嬌憨又豪爽的人兒誰不樂見呢，在她不知不覺間，早已結交了許多朋友。\n誰也不忍見她流離失所。"
LegendInfo/Ch_6_7_1_010,"龍湘像條喪家之犬，無處可去，倒不是沒人上前招呼，但她乍逢劇變，感覺至今人生全是謊言，她的靠山一座接一座垮了，滿心委屈無助，誰也不敢相信，那些好聽的話似乎全都別有用心，那些好看的笑臉也許全都另有所圖。\n東躲西藏，惶惑不安，偏又不敢離此遠去。\n如今唯一能信的，說不定只剩你了。\n她惴惴不安飄盪過來，想要依靠你，可是目光與旁人相觸，又似驚弓之鳥別開。"
LegendInfo/Ch_6_7_1_009,"你們那兒也亂作一鍋粥，想到前幾日住在錦香宮有多愜意舒適，此刻就有多麼膽戰心驚，還道是溫柔鄉，原來卻是龍潭虎穴！\n她們若是存心加害，夜裡把你們通通抹了脖子也不在話下。"
LegendInfo/Ch_6_7_1_008,"上官隼家財萬貫，如今更有官身，貴不可言，按說不該以身犯險，但是昔日江湖打滾沾上的豪氣半分未減，欣然同意。\n反是南宮遠左右為難，他是千萬個想去，無奈他身為盟主必須避嫌，否則怎談都難免被人詬病，何況服眾？無法可想，也只得派出大公子南宮深代行。"
LegendInfo/Ch_6_7_1_007,"南宮遠欲為錦香宮分辯，可他縱是盟主，也不能因為舊情徇私害公，何況眾人被蒙蔽多年，如今真相大白，無不驚怒交加，一時群情洶湧，壓根沒法聽人說話。\n他急起來不管不顧，幾乎要與昔日稱兄道弟的人們決裂動起手來，溫夫人忽然揚聲邀請武林盟主和上官大人入陣一敘。\n這下各都安靜下來，想看武林盟主嘴裡高唱包容和平，現在火燒到自己頭上，還能不能心平氣和，犯險入陣去和那怨婦說話。\n再說那上官家主是朝廷的命官，勢與逆賊不能兩立，只要在旁監督，不怕盟主徇私。\n要是上官大人在陣中遭遇不測，武林盟主更難辭其咎。"
LegendInfo/Ch_6_7_1_006,"錦香宮人訓練有素，見勢不妙，立刻結出陣法，陣眼踏定，便流轉不息，一人出劍，八方宮人互為後著，此陣是由三國名相諸葛亮所推演的《八陣圖》演化而來，正道武林人數以錦香宮十倍不止，卻只一盤散沙，只知叫嚷攢動，哪裡能破此陣？\n於是被拒於陣外，一時相持不下。\n錦香宮揚名以來，收留的皆是飽受世間成見所害的可憐女子，全宮上下，便只龍湘一人不是自願入宮，而是從小被溫夫人帶在身邊教大的，名曰師徒，實則更像母女。\n今日方始得知錦香宮竟然便是人間道，一時間宛如身墜夢境，兩腳踏不到實地，恍恍忽忽，焦急想要清醒，卻始終無法掙脫，被溫夫人放逐出宮，茫然無措不知何去何從。"
LegendInfo/Ch_6_7_1_005,"嵩山南院的釋明禪師越眾而出，一派正義凜然，借信一看，又浮誇地露出震驚神色，將信呈交盟主。\n南宮淺說，眾人嗤之以鼻。憑釋明一言，眾人亦不能盡信。\n然而南宮遠讀信時的臉色鐵青卻勝過千言萬語，哪裡還有不信的？"
LegendInfo/Ch_6_7_1_004,"你聽了冷汗直流，直想立刻上前堵住他的嘴。"
LegendInfo/Ch_6_7_1_003,"錦香宮人一派如釋重負的樣子，有人打算獨行遊歷江湖，有人打算封劍退隱，結婚生子，各奔前程。\n與錦香宮交善的江湖朋友雖然不捨，但也並不挽留，紛紛獻以祝福。\n潮起時快意恩仇，風光一時，潮落時金盆洗手，平安退隱。這何嘗不是江湖人心中所願？\n武林大會就此將告落幕，始終不受待見的南宮世家二公子南宮淺卻慌慌張張衝了出來，揮舞著手裡的密信，當眾告發錦香宮主的真實身份，正是泥教人間道法王！\n這話聽得山上俠士哭笑不得，早聽說南宮世家二公子是個上不了臺面的庶出子，沒少幹出令家族蒙羞的傻事，這回不知聽信了何方小道消息，又在譁眾取寵。"
LegendInfo/Ch_6_7_1_002,"等到六大派，丐幫、滄幫、飛石三大幫，各州中小門派、聯會、乃至火炎山劍閣都來拜謁盟主，錦香宮主才姍姍來遲。\n他們等這一日等了二十年，二十年前蘇迎香站在南宮遠的身側，為他出謀劃策。\n無數賢才慕名而來，皆傾倒於他的高遠志向，不惜拋頭顱、灑熱血，立誓要改變這個人間。\n二十年後人世已非，照面唯有追不回的遺憾而已。\n溫夫人臉若冰霜，話更是凌厲，冰封三尺，非一日之寒，無論南宮遠說什麼話語，便是暖不了她寒透的一顆心。\n不惜當眾解散錦香宮，也不奉南宮遠為盟主。"
LegendInfo/Ch_6_7_1_001,"\n各幫各派掌門、長老紛紛上前向武林盟主道賀恭喜，你唐門雖不以正道自居，但同為武林中人，與南宮世家又是世交，不免要上前寒暄一番。\n道賀歸道賀，然而唐門我行我素的作風卻不能變移，若有利於民生不違俠義的盛事不妨參與，但未必會對武林盟言聽計從。\n你都不用出口，南宮遠便截住了你的話頭，他與唐門打交道恁久，怎會不知道唐門的傲氣？\n唐門就該是桀傲不馴，磨煞了傲骨，那可有多可惜。\n武林應該有不羈的俠客，也有願意聽奉朝廷號令的義士，而居中協調者，便是南宮世家。\n你從南宮家主口中聽了掌門說過的話，遙想二十年前，掌門矯矯不群，目空當世豪傑，獨來獨往，那是何等意氣風發、何等氣魄？不由得心潮澎湃，以身為唐門弟子為豪。"
LegendInfo/Ch_6_6_2_Break_01_040,"連一家子人都能為一點雞毛蒜皮的小事起爭執，何況國與國之間。\n瑞笙感慨萬千，想想天下大同的宏願，真不是普通的難辦，最怕苦心孤詣到頭仍是徒勞無功。\n小菊卻不以為然，知其不可為而為之，不亦聖乎？\n笨拙也無妨，畢竟世人不是誰都有才能，正是應該踏實，一步一腳印，用平凡的辦法做所有人都可能辦到的事，後人才能效仿。\n瑞笙聽了大為欽佩，讚她見識超卓，你也臉上有光。"
